video_id,segment_id,start_frame,end_frame,start_time_ms,end_time_ms,start_time_sec,end_time_sec,duration_sec,label,word_count,mean_word_prob,is_silence,transcript
LectureMath_00000_000_001,39,5957,5992,198765.43,199966.63,198.765,199.967,1.201,out,6,0.904,0,let us see if we were
LectureMath_00000_000_001,40,5993,6376,199966.63,212779.45,199.967,212.779,12.813,explain,45,0.896,0,"given these two equations, since there are two variables we know that we are at least in a two dimensional world maybe more, but suppose we restrict our attention to R 2 which is the two dimensional world and then we want to know what"
LectureMath_00000_000_001,41,6377,6511,212779.45,217283.95,212.779,217.284,4.505,out,9,0.885,0,"is the solution to this system of equation. So,"
LectureMath_00000_000_001,42,6512,6535,217283.95,218084.75,217.284,218.085,0.801,pick_eraser,4,0.978,0,we want to solve
LectureMath_00000_000_001,43,6536,6574,218084.75,219386.05,218.085,219.386,1.301,erase,5,0.752,0,it in a geometric way
LectureMath_00000_000_001,44,6575,6588,219386.05,219853.19,219.386,219.853,0.467,drop_eraser,1,0.981,0,first.
LectureMath_00000_000_001,45,6589,6598,219853.19,220186.85,219.853,220.187,0.334,out,0,,1,[silence]
LectureMath_00000_000_001,46,6599,6626,220186.85,221121.12,220.187,221.121,0.934,explain,2,0.786,0,3 x
LectureMath_00000_000_001,47,6627,6688,221121.12,223189.86,221.121,223.190,2.069,out,6,0.601,0,is equal to 1 in R
LectureMath_00000_000_001,48,6689,6727,223189.86,224491.16,223.190,224.491,1.301,explain,2,0.477,0,2 will
LectureMath_00000_000_001,49,6728,6945,224491.16,231765.10,224.491,231.765,7.274,write,15,0.851,0,represent a line for us something like this x is equal to one third this
LectureMath_00000_000_001,50,6946,7052,231765.10,235335.34,231.765,235.335,3.570,explain,15,0.896,0,is our line and x plus 2 y is equal to 3 is also going
LectureMath_00000_000_001,51,7053,7092,235335.34,236670.00,235.335,236.670,1.335,write,5,0.992,0,to represent a line for
LectureMath_00000_000_001,52,7093,7179,236670.00,239572.91,236.670,239.573,2.903,explain,5,0.95,0,us perhaps something like this.
LectureMath_00000_000_001,53,7180,7263,239572.91,242375.71,239.573,242.376,2.803,write,0,,1,[silence]
LectureMath_00000_000_001,54,7264,7288,242375.71,243209.88,242.376,243.210,0.834,explain,0,,1,[silence]
LectureMath_00000_000_001,55,7289,7463,243209.88,249049.05,243.210,249.049,5.839,out,10,0.944,0,And once we have these two lines we are looking
LectureMath_00000_000_001,56,7464,7516,249049.05,250817.48,249.049,250.817,1.768,explain,2,0.991,0,for a
LectureMath_00000_000_001,57,7517,7739,250817.48,258258.26,250.817,258.258,7.441,write,18,0.925,0,point which is common to both of them and this point will be called a solution for us.
LectureMath_00000_000_001,58,7740,7764,258258.26,259092.43,258.258,259.092,0.834,explain,0,,1,[silence]
LectureMath_00000_000_001,59,7765,7961,259092.43,265665.67,259.092,265.666,6.573,out,13,0.942,0,"Now, this is a geometric picture what if we really want to know"
LectureMath_00000_000_001,60,7962,8041,265665.67,268335.00,265.666,268.335,2.669,explain,8,0.85,0,"what exactly is the solution that means, what"
LectureMath_00000_000_001,61,8042,8145,268335.00,271805.14,268.335,271.805,3.470,write,14,0.974,0,we want to know is what are the values of x and y that
LectureMath_00000_000_001,62,8146,8264,271805.14,275775.78,271.805,275.776,3.971,out,11,0.926,0,"can help that lie on both these lines. So, we need"
LectureMath_00000_000_001,63,8265,8308,275775.78,277243.91,275.776,277.244,1.468,explain,5,0.974,0,some algebraic way to find
LectureMath_00000_000_001,64,8309,8381,277243.91,279679.68,277.244,279.680,2.436,out,7,0.917,0,our solutions. In this particular case the
LectureMath_00000_000_001,65,8382,8421,279679.68,281014.35,279.680,281.014,1.335,explain,4,0.926,0,answer is fairly easy
LectureMath_00000_000_001,66,8422,8429,281014.35,281281.28,281.014,281.281,0.267,write,0,,1,[silence]
LectureMath_00000_000_001,67,8430,8478,281281.28,282916.25,281.281,282.916,1.635,explain,5,0.889,0,because we already have x
LectureMath_00000_000_001,68,8479,8523,282916.25,284417.75,282.916,284.418,1.502,write,4,0.827,0,as one third and
LectureMath_00000_000_001,69,8524,8552,284417.75,285385.39,284.418,285.385,0.968,explain,3,0.974,0,when we plug
LectureMath_00000_000_001,70,8553,8664,285385.39,289122.46,285.385,289.122,3.737,out,7,0.709,0,in for y we will be able
LectureMath_00000_000_001,71,8665,8735,289122.46,291491.49,289.122,291.491,2.369,explain,8,0.941,0,to find what is the value of y.
LectureMath_00000_000_001,72,8736,9332,291491.49,311411.41,291.491,311.411,19.920,write,28,0.884,0,"So, for x is equal to one third y would be 3 minus x over 2 and this will give us 8 over 6 which is four thirds."
LectureMath_00000_000_001,73,9333,9457,311411.41,315582.25,311.411,315.582,4.171,explain,12,0.891,0,"So, y would be four third in which case we can claim"
LectureMath_00000_000_001,74,9458,9525,315582.25,317851.18,315.582,317.851,2.269,erase,6,0.926,0,that we have found our point
LectureMath_00000_000_001,75,9526,9543,317851.18,318451.79,317.851,318.452,0.601,explain,4,0.747,0,we have found our
LectureMath_00000_000_001,76,9544,9632,318451.79,321421.42,318.452,321.421,2.970,write,9,0.955,0,solution which is namely one third and four thirds.
LectureMath_00000_000_001,77,9633,9653,321421.42,322122.12,321.421,322.122,0.701,explain,0,,1,[silence]
LectureMath_00000_000_001,78,9654,9780,322122.12,326359.69,322.122,326.360,4.238,out,15,0.863,0,"So, this is what we would mean by a solution of this system of equation"
LectureMath_00000_000_001,79,9781,9828,326359.69,327961.29,326.360,327.961,1.602,explain,5,0.766,0,that this system was considered
LectureMath_00000_000_001,80,9829,9950,327961.29,332032.03,327.961,332.032,4.071,out,8,0.878,0,"in R 2. Now, the question is this"
LectureMath_00000_000_001,81,9951,9995,332032.03,333533.53,332.032,333.534,1.502,explain,4,0.996,0,is the only solution.
LectureMath_00000_000_001,82,9996,10057,333533.53,335602.27,333.534,335.602,2.069,out,3,0.974,0,"So, we may"
LectureMath_00000_000_001,83,10058,10280,335602.27,343043.04,335.602,343.043,7.441,explain,26,0.936,0,"ask ourselves given any system of equations is it always the case that we will have only one solution, but it possibly have more than one"
LectureMath_00000_000_001,84,10281,10349,343043.04,345345.35,343.043,345.345,2.302,out,8,0.956,0,"solution, is it possible that it has no"
LectureMath_00000_000_001,85,10350,10386,345345.35,346579.91,345.345,346.580,1.235,explain,2,0.692,0,solution and
LectureMath_00000_000_001,86,10387,10469,346579.91,349349.35,346.580,349.349,2.769,out,9,0.861,0,what turns out to be that looking through geometry
LectureMath_00000_000_001,87,10470,10485,349349.35,349883.22,349.349,349.883,0.534,explain,1,0.55,0,it
LectureMath_00000_000_001,88,10486,10503,349883.22,350483.82,349.883,350.484,0.601,pick_eraser,2,0.986,0,helps us
LectureMath_00000_000_001,89,10504,10748,350483.82,358658.66,350.484,358.659,8.175,erase,18,0.939,0,understand many situations fairly easily and that will lay the groundwork for how things are going to be
LectureMath_00000_000_001,90,10749,10770,358658.66,359392.73,358.659,359.393,0.734,drop_eraser,1,0.774,0,later
LectureMath_00000_000_001,91,10771,10803,359392.73,360493.83,359.393,360.494,1.101,explain,1,0.984,0,on.
LectureMath_00000_000_001,92,10804,10871,360493.83,362762.76,360.494,362.763,2.269,out,2,0.988,0,"So, for"
LectureMath_00000_000_001,93,10872,10952,362762.76,365465.47,362.763,365.465,2.703,explain,1,0.999,0,"example,"
LectureMath_00000_000_001,94,10953,11048,365465.47,368668.67,365.465,368.669,3.203,write,7,0.797,0,if we are in R 2 we
LectureMath_00000_000_001,95,11049,11119,368668.67,371037.70,368.669,371.038,2.369,explain,7,0.997,0,understand that linear equations are going to
LectureMath_00000_000_001,96,11120,11128,371037.70,371338.00,371.038,371.338,0.300,out,1,0.994,0,represent
LectureMath_00000_000_001,97,11129,11169,371338.00,372706.04,371.338,372.706,1.368,explain,3,0.986,0,"a line. So,"
LectureMath_00000_000_001,98,11170,11899,372706.04,397063.73,372.706,397.064,24.358,write,51,0.903,0,we may have a situation like this where we have been given equations in present two lines and they turn out to have unique solution or we may have a situation where we are given two lines which turn out to be parallel to each other and they have no solution
LectureMath_00000_000_001,99,11900,11980,397063.73,399766.43,397.064,399.766,2.703,explain,6,0.94,0,or we may have a situation
LectureMath_00000_000_001,100,11981,12102,399766.43,403837.17,399.766,403.837,4.071,write,5,0.973,0,where we have two lines
LectureMath_00000_000_001,101,12103,12152,403837.17,405505.51,403.837,405.506,1.668,explain,1,0.736,0,rather
LectureMath_00000_000_001,102,12153,12212,405505.51,407507.51,405.506,407.508,2.002,change,7,0.979,0,I should say we have two equations
LectureMath_00000_000_001,103,12213,12278,407507.51,409709.71,407.508,409.710,2.202,explain,1,0.95,0,which
LectureMath_00000_000_001,104,12279,12718,409709.71,424391.06,409.710,424.391,14.681,write,14,0.89,0,"represent the same straight line in which case we have infinitely many solutions. So,"
LectureMath_00000_000_001,105,12719,13224,424391.06,441274.61,424.391,441.275,16.884,explain,44,0.895,0,"question is can there be a situation which is different from these three that means can we have a situation where we have more than one solution, but finitely many solutions in the sense can it happen that I have two straight lines which"
LectureMath_00000_000_001,106,13225,13288,441274.61,443410.08,441.275,443.410,2.135,write,3,0.934,0,can meet at
LectureMath_00000_000_001,107,13289,13502,443410.08,450550.55,443.410,450.551,7.140,explain,22,0.889,0,"more than one point, but not all of them and a simple thought at least geometrically one can intuitively say that if"
LectureMath_00000_000_001,108,13503,13709,450550.55,457457.46,450.551,457.457,6.907,write,22,0.864,0,"a straight line passes through two points then it is a unique straight line. So, if I have another straight line through"
LectureMath_00000_000_001,109,13710,14202,457457.46,473907.24,457.457,473.907,16.450,explain,40,0.908,0,"the same two points then it must be the straight line I started with. So, the situation here is that given a system of equations I will either have only one solution, no solution or infinitely many solutions. So, question"
LectureMath_00000_000_001,110,14203,14281,473907.24,476543.21,473.907,476.543,2.636,out,5,0.939,0,is can this be generalized
LectureMath_00000_000_001,111,14282,14342,476543.21,478578.58,476.543,478.579,2.035,explain,5,0.823,0,to higher dimensions for example
LectureMath_00000_000_001,112,14343,14361,478578.58,479212.55,478.579,479.213,0.634,pick_eraser,2,0.642,0,if we
LectureMath_00000_000_001,113,14362,14443,479212.55,481948.62,479.213,481.949,2.736,explain,6,0.772,0,were in R 3 what would
LectureMath_00000_000_001,114,14444,14604,481948.62,487320.65,481.949,487.321,5.372,erase,6,0.812,0,happen to the number of solutions.
LectureMath_00000_000_001,115,14605,14659,487320.65,489155.82,487.321,489.156,1.835,out,0,,1,[silence]
LectureMath_00000_000_001,116,14660,14699,489155.82,490490.49,489.156,490.490,1.335,drop_eraser,0,,1,[silence]
LectureMath_00000_000_001,117,14700,14781,490490.49,493226.56,490.490,493.227,2.736,out,1,0.9,0,"So,"
LectureMath_00000_000_001,118,14782,14803,493226.56,493960.63,493.227,493.961,0.734,explain,4,0.914,0,let us try our
LectureMath_00000_000_001,119,14804,14874,493960.63,496329.66,493.961,496.330,2.369,write,4,0.815,0,luck in R 3.
LectureMath_00000_000_001,120,14875,14891,496329.66,496896.90,496.330,496.897,0.567,explain,0,,1,[silence]
LectureMath_00000_000_001,121,14892,14954,496896.90,498999.00,496.897,498.999,2.102,out,4,0.946,0,"So, in R 3"
LectureMath_00000_000_001,122,14955,15012,498999.00,500934.27,498.999,500.934,1.935,explain,5,0.88,0,or in third dimension suppose
LectureMath_00000_000_001,123,15013,15359,500934.27,512512.51,500.934,512.513,11.578,write,30,0.839,0,I give suppose we have bunch of equations say x plus x minus y plus z is 1 2 x minus 3 y plus 7 z is 2 suppose I
LectureMath_00000_000_001,124,15360,15379,512512.51,513179.85,512.513,513.180,0.667,explain,1,0.997,0,have
LectureMath_00000_000_001,125,15380,15472,513179.85,516282.95,513.180,516.283,3.103,out,5,0.934,0,two equations in R 3
LectureMath_00000_000_001,126,15473,15481,516282.95,516583.25,516.283,516.583,0.300,explain,0,,1,[silence]
LectureMath_00000_000_001,127,15482,15498,516583.25,517150.48,516.583,517.150,0.567,erase,2,0.608,0,you can
LectureMath_00000_000_001,128,15499,15562,517150.48,519285.95,517.150,519.286,2.135,explain,7,0.992,0,see that each of these equations will
LectureMath_00000_000_001,129,15563,15757,519285.95,525792.46,519.286,525.792,6.507,write,12,0.985,0,"represent a linear plane. So, these are basically two planes in R"
LectureMath_00000_000_001,130,15758,15771,525792.46,526259.59,525.792,526.260,0.467,explain,1,0.98,0,3.
LectureMath_00000_000_001,131,15772,15854,526259.59,529029.03,526.260,529.029,2.769,out,8,0.901,0,"Now, the question is if I am given"
LectureMath_00000_000_001,132,15855,17008,529029.03,567534.20,529.029,567.534,38.505,explain,71,0.876,0,"two planes in R 3. So, this is one plane. So, imagine this is one plane let us talk about the floor or the table it is one plane and if we have another plane imagine this is one plane and here is another plane. If we are given two planes then they might intersect and once they intersect they are going to intersect along a line. So, think of two"
LectureMath_00000_000_001,133,17009,17068,567534.20,569536.20,567.534,569.536,2.002,out,4,0.994,0,pages in a book
LectureMath_00000_000_001,134,17069,17095,569536.20,570437.10,569.536,570.437,0.901,explain,1,0.425,0,they
LectureMath_00000_000_001,135,17096,17127,570437.10,571504.84,570.437,571.505,1.068,out,3,0.988,0,meet at the
LectureMath_00000_000_001,136,17128,17145,571504.84,572105.44,571.505,572.105,0.601,explain,1,0.959,0,binding
LectureMath_00000_000_001,137,17146,17170,572105.44,572939.61,572.105,572.940,0.834,out,3,0.776,0,or the spine
LectureMath_00000_000_001,138,17171,17232,572939.61,575008.34,572.940,575.008,2.069,explain,6,0.985,0,"of the book. So, a situation"
LectureMath_00000_000_001,139,17233,17459,575008.34,582582.58,575.008,582.583,7.574,write,19,0.95,0,like this may happen and you have a plane and you have another plane and both of them are
LectureMath_00000_000_001,140,17460,17479,582582.58,583249.92,582.583,583.250,0.667,explain,4,0.98,0,meeting in a line.
LectureMath_00000_000_001,141,17480,17630,583249.92,588288.29,583.250,588.288,5.038,out,15,0.875,0,"So, they both meet in a line and that means we are in the situation"
LectureMath_00000_000_001,142,17631,17670,588288.29,589622.96,588.288,589.623,1.335,explain,4,0.944,0,of infinitely many solutions.
LectureMath_00000_000_001,143,17671,17700,589622.96,590623.96,589.623,590.624,1.001,out,0,,1,[silence]
LectureMath_00000_000_001,144,17701,17722,590623.96,591358.02,590.624,591.358,0.734,explain,3,0.965,0,What if we
LectureMath_00000_000_001,145,17723,17842,591358.02,595362.03,591.358,595.362,4.004,write,10,0.846,0,are given two planes which do not meet something like
LectureMath_00000_000_001,146,17843,17847,595362.03,595528.86,595.362,595.529,0.167,explain,0,,1,[silence]
LectureMath_00000_000_001,147,17848,17912,595528.86,597697.70,595.529,597.698,2.169,out,7,0.797,0,this parallel planes just think of the
LectureMath_00000_000_001,148,17913,17929,597697.70,598264.93,597.698,598.265,0.567,explain,2,0.992,0,roof and
LectureMath_00000_000_001,149,17930,17947,598264.93,598865.53,598.265,598.866,0.601,out,1,0.61,0,the
LectureMath_00000_000_001,150,17948,17987,598865.53,600200.20,598.866,600.200,1.335,explain,4,0.864,0,floor they do not
LectureMath_00000_000_001,151,17988,18002,600200.20,600700.70,600.200,600.701,0.501,out,1,0.975,0,meet.
LectureMath_00000_000_001,152,18003,18132,600700.70,605038.37,600.701,605.038,4.338,explain,11,0.956,0,this corresponds to the situation when we have no solution and
LectureMath_00000_000_001,153,18133,18175,605038.37,606473.14,605.038,606.473,1.435,out,4,0.987,0,"of course, two planes"
LectureMath_00000_000_001,154,18176,18203,606473.14,607407.41,606.473,607.407,0.934,explain,5,0.994,0,can be on top of
LectureMath_00000_000_001,155,18204,18336,607407.41,611845.18,607.407,611.845,4.438,write,6,0.991,0,each other representing the same plane
LectureMath_00000_000_001,156,18337,18356,611845.18,612512.51,611.845,612.513,0.667,explain,1,0.977,0,like
LectureMath_00000_000_001,157,18357,18472,612512.51,616383.05,612.513,616.383,3.871,out,9,0.835,0,this in which case we have infinitely many solutions.
LectureMath_00000_000_001,158,18473,18611,616383.05,621021.02,616.383,621.021,4.638,explain,14,0.927,0,"Now, the question is is it possible that planes can have a unique solution."
LectureMath_00000_000_001,159,18612,18637,621021.02,621888.56,621.021,621.889,0.868,out,1,0.969,0,If
LectureMath_00000_000_001,160,18638,18763,621888.56,626092.76,621.889,626.093,4.204,explain,13,0.894,0,you think two planes wherever they intersect they will intersect at more than
LectureMath_00000_000_001,161,18764,18785,626092.76,626826.83,626.093,626.827,0.734,out,4,0.823,0,one point just think
LectureMath_00000_000_001,162,18786,18841,626826.83,628695.36,626.827,628.695,1.869,explain,6,0.947,0,of like cutting the butter with
LectureMath_00000_000_001,163,18842,18889,628695.36,630296.96,628.695,630.297,1.602,out,2,0.923,0,a knife.
LectureMath_00000_000_001,164,18890,19009,630296.96,634300.97,630.297,634.301,4.004,explain,15,0.946,0,But if I give you a third plane to work with let us say another
LectureMath_00000_000_001,165,19010,19138,634300.97,638605.27,634.301,638.605,4.304,write,9,0.827,0,plane I will just make up some numbers hopefully
LectureMath_00000_000_001,166,19139,19153,638605.27,639105.77,638.605,639.106,0.501,explain,1,0.886,0,they
LectureMath_00000_000_001,167,19154,19279,639105.77,643309.98,639.106,643.310,4.204,out,14,0.946,0,will work. But if I give you three planes then is it possible for
LectureMath_00000_000_001,168,19280,19311,643309.98,644377.71,643.310,644.378,1.068,explain,4,0.978,0,us to see if
LectureMath_00000_000_001,169,19312,19378,644377.71,646613.28,644.378,646.613,2.236,out,8,0.698,0,"they all meet at a point. Now, imagine"
LectureMath_00000_000_001,170,19379,19720,646613.28,658024.69,646.613,658.025,11.411,explain,32,0.902,0,"the corner of a room you have the wall that front the opposite wall and the roof they all are meeting in one point. So, it is possible that when we are"
LectureMath_00000_000_001,171,19721,19792,658024.69,660427.09,658.025,660.427,2.402,out,6,0.867,0,given three planes if they all
LectureMath_00000_000_001,172,19793,19887,660427.09,663596.93,660.427,663.597,3.170,explain,13,0.961,0,intersect it is possible that we may end up having a solution with
LectureMath_00000_000_001,173,19888,20042,663596.93,668768.77,663.597,668.769,5.172,out,10,0.927,0,"a which is unique. So, this tells us that whether"
LectureMath_00000_000_001,174,20043,20201,668768.77,674074.07,668.769,674.074,5.305,explain,14,0.834,0,we go from R2 to R3 or R3 to R4 the number of solutions
LectureMath_00000_000_001,175,20202,20235,674074.07,675208.54,674.074,675.209,1.134,out,2,0.892,0,seem to
LectureMath_00000_000_001,176,20236,20441,675208.54,682082.08,675.209,682.082,6.874,explain,12,0.81,0,be either one infinitely many or zero. Will this situation carry on
LectureMath_00000_000_001,177,20442,20473,682082.08,683149.82,682.082,683.150,1.068,out,2,0.986,0,later on
LectureMath_00000_000_001,178,20474,20498,683149.82,683983.98,683.150,683.984,0.834,explain,3,0.941,0,for higher dimensions
LectureMath_00000_000_001,179,20499,20541,683983.98,685418.75,683.984,685.419,1.435,out,4,0.972,0,"also like R4, R5"
LectureMath_00000_000_001,180,20542,20555,685418.75,685885.89,685.419,685.886,0.467,explain,0,,1,[silence]
LectureMath_00000_000_001,181,20556,20644,685885.89,688855.52,685.886,688.856,2.970,out,6,0.845,0,and we shall explore that but
LectureMath_00000_000_001,182,20645,20688,688855.52,690323.66,688.856,690.324,1.468,explain,3,0.962,0,if I may
LectureMath_00000_000_001,183,20689,20739,690323.66,692025.36,690.324,692.025,1.702,pick_eraser,5,0.97,0,jump the gun a bit.
LectureMath_00000_000_001,184,20740,20865,692025.36,696229.56,692.025,696.230,4.204,erase,11,0.899,0,"In fact, we will see that we can prove that even"
LectureMath_00000_000_001,185,20866,20881,696229.56,696763.43,696.230,696.763,0.534,drop_eraser,1,0.9,0,in
LectureMath_00000_000_001,186,20882,20970,696763.43,699733.07,696.763,699.733,2.970,out,6,0.739,0,"R3, R4, R5 any Rn the"
LectureMath_00000_000_001,187,20971,21001,699733.07,700767.43,699.733,700.767,1.034,explain,3,0.99,0,number of solutions
LectureMath_00000_000_001,188,21002,22124,700767.43,738238.24,700.767,738.238,37.471,write,14,0.791,0,"the number of solutions of linear system of linear equations 1, 0 infinitely many."
LectureMath_00000_000_001,189,22125,22137,738238.24,738672.01,738.238,738.672,0.434,explain,0,,1,[silence]
LectureMath_00000_000_001,190,22138,22360,738672.01,746112.78,738.672,746.113,7.441,out,23,0.917,0,"Now, this is something which we are guessing right now but later on we shall prove that this would be the case and"
LectureMath_00000_000_001,191,22361,22491,746112.78,750483.82,746.113,750.484,4.371,pick_eraser,6,0.987,0,the reasoning comes from basically understanding
LectureMath_00000_000_001,192,22492,22716,750483.82,757991.32,750.484,757.991,7.508,erase,8,0.878,0,"these things in a more algebraic manner. Now,"
LectureMath_00000_000_001,193,22717,22764,757991.32,759592.93,757.991,759.593,1.602,explain,0,,1,[silence]
LectureMath_00000_000_001,194,22765,22910,759592.93,764464.46,759.593,764.464,4.872,erase,0,,1,[silence]
LectureMath_00000_000_001,195,22911,22919,764464.46,764764.76,764.464,764.765,0.300,drop_eraser,0,,1,[silence]
LectureMath_00000_000_001,196,22920,23024,764764.76,768268.27,764.765,768.268,3.504,explain,0,,1,[silence]
LectureMath_00000_000_001,197,23025,23059,768268.27,769436.10,768.268,769.436,1.168,video_switch,0,,1,[silence]
LectureMath_00000_000_001,198,23060,23135,769436.10,771971.97,769.436,771.972,2.536,explain,0,,1,[silence]
LectureMath_00000_000_001,199,23136,23147,771971.97,772372.37,771.972,772.372,0.400,out,0,,1,[silence]
LectureMath_00000_000_001,200,23148,23251,772372.37,775842.51,772.372,775.843,3.470,explain,4,0.95,0,our aim is to
LectureMath_00000_000_001,201,23252,23763,775842.51,792926.26,775.843,792.926,17.084,write,8,0.968,0,try to solve the system of linear equations.
LectureMath_00000_000_001,202,23764,23794,792926.26,793960.63,792.926,793.961,1.034,explain,0,,1,[silence]
LectureMath_00000_000_001,203,23795,23897,793960.63,797397.40,793.961,797.397,3.437,out,9,0.971,0,"So, we will try to find a way of"
LectureMath_00000_000_001,204,23898,23944,797397.40,798965.63,797.397,798.966,1.568,explain,3,0.992,0,solving these things
LectureMath_00000_000_001,205,23945,24005,798965.63,801001.00,798.966,801.001,2.035,change,3,0.96,0,in a purely
LectureMath_00000_000_001,206,24006,24196,801001.00,807374.04,801.001,807.374,6.373,out,16,0.941,0,algebraic manner and then we will try to understand how to write the solutions to these
LectureMath_00000_000_001,207,24197,24310,807374.04,811177.84,807.374,811.178,3.804,explain,6,0.868,0,things. First of all let us
